=== AUDIT SCAN REPORT ===
Total Files Scanned: 202

Gigi Perez - Sailor Song.m4a | Sailor Song - Gigi Perez | Matched: [At The Beach, In Every Life] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Gracie Abrams - Close To You.m4a | Close To You - Gracie Abrams | Matched: [The Secret of Us] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Gracie Abrams - That’s So True.m4a | That’s So True - Gracie Abrams | Matched: [The Secret of Us (Deluxe)] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Green Day - 21 Guns.m4a | 21 Guns - Green Day | Matched: [21st Century Breakdown (Deluxe Edition)] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Gráinne Duffy - Well Well Well.m4a | Well Well Well - Gráinne Duffy | Matched: [Dirt Woman Blues] | Score: 180 | Cat: Studio Album | Quality: Deezer HD Artwork (1000px) | Flag: OK
HYBS - Tip Toe.m4a | Tip Toe - HYBS | Matched: [Tip Toe (Side Dish)] | Score: 240 | Cat: Studio Album | Quality: Deezer HD Artwork (1000px) | Flag: OK
Haley Bennett & Hugh Grant - Way Back Into Love.m4a | Way Back Into Love - Haley Bennett & Hugh Grant | Matched: [Music and Lyrics (Music from the Motion Picture)] | Score: 25 | Cat: Soundtrack/Compilation Fallback | Quality: iTunes High-Res (3000px) | Flag: FALLBACK
Harry Styles - Watermelon Sugar.m4a | Watermelon Sugar - Harry Styles | Matched: [Fine Line] | Score: 240 | Cat: Studio Album | Quality: Deezer HD Artwork (1000px) | Flag: OK
Haven - Say Something.m4a | Say Something - Haven | Matched: [Between the Senses] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
Henry Moodie - mood swings.m4a | mood swings - Henry Moodie | Matched: [mood swings] | Score: 210 | Cat: Single | Quality: Deezer HD Artwork (1000px) | Flag: OK
Hermitude - Onefourthree (feat. Buddy & BJ the Chicago Kid).m4a | Onefourthree (feat. Buddy & BJ the Chicago Kid) - Hermitude | Matched: [Pollyanarchy (Deluxe Version)] | Score: 240 | Cat: Studio Album | Quality: Deezer HD Artwork (1000px) | Flag: OK
Hootie & The Blowfish - Only Wanna Be with You.m4a | Only Wanna Be with You - Hootie & The Blowfish | Matched: [Cracked Rear View] | Score: 240 | Cat: Studio Album | Quality: Deezer HD Artwork (1000px) | Flag: OK
Hozier - Too Sweet.m4a | Too Sweet - Hozier | Matched: [Unheard - EP] | Score: 240 | Cat: Studio Album | Quality: iTunes High-Res (3000px) | Flag: OK
